frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
89,2.9749,Midnight 00:00,0.1,1,-0.69357,0.004,2.58827,0.58827,-0.69357,-0.996,3.13948,-0.00015,-0.10649,625.0,5.03
90,3.0084,Midnight 00:00,0.1,1,-0.70591,0.004,2.58914,0.58914,-0.70591,-0.996,3.13012,-0.00033,-0.26147,600.0,5.042
91,3.0418,Midnight 00:00,0.1,1,-0.71706,0.004,2.58823,0.58823,-0.71706,-0.996,3.13958,-0.00014,-0.1038,625.0,5.04
92,3.0752,Midnight 00:00,0.1,1,-0.73272,0.004,2.58821,0.58821,-0.73272,-0.996,3.13965,-0.00014,-0.10208,625.0,5.03
93,3.1086,Midnight 00:00,0.1,1,-0.74505,0.004,2.58904,0.58904,-0.74505,-0.996,3.13085,-0.00032,-0.2529,600.0,5.042
94,3.1421,Midnight 00:00,0.1,1,-0.7562,0.004,2.58817,0.58817,-0.7562,-0.996,3.13974,-0.00014,-0.09958,625.0,5.031
95,3.1755,Midnight 00:00,0.1,1,-0.78145,0.00221,2.63296,0.63296,-0.78145,-0.99779,-3.08822,-0.02675,0.19418,588.0,5.034
96,3.2089,Midnight 00:00,0.1,1,-0.78418,0.004,2.58896,0.58896,-0.78418,-0.996,3.13153,-0.00032,-0.24478,600.0,5.037
97,3.2423,Midnight 00:00,0.1,1,-0.80768,0.00227,2.62873,0.62873,-0.80768,-0.99773,-3.07963,-0.03024,0.0365,612.5,5.028
98,3.2758,Midnight 00:00,0.1,1,-0.82744,-0.00833,2.6942,0.6942,-0.82744,-1.00833,3.13876,-0.00039,0.10933,600.0,5.044
99,3.3092,Midnight 00:00,0.1,1,-0.82742,-0.025,2.69413,0.69413,-0.82742,-1.025,3.13693,-0.00117,0.1091,600.0,5.04
100,3.3426,Midnight 00:00,0.1,1,-0.79317,-0.03577,2.58682,0.58682,-0.79317,-1.03577,-3.07893,0.00013,0.17175,612.5,5.031
101,3.376,Midnight 00:00,0.1,1,-0.82735,-0.04999,2.6939,0.6939,-0.82735,-1.04999,3.13421,-0.00232,0.10845,600.0,5.047
102,3.4095,Midnight 00:00,0.1,1,-0.8088,-0.06284,2.63242,0.63242,-0.8088,-1.06284,-3.07829,-0.03094,0.03029,612.5,5.038
