frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
96,6.4,Midnight 00:00,real-world,0.1,1,-0.66451,-0.13834,2.28467,0.28467,-0.66451,-1.13834,-3.20266,-0.01589,-0.50694,6849.5,5.617
97,6.4667,Midnight 00:00,real-world,0.1,1,-0.66758,-0.17818,2.27441,0.27441,-0.66758,-1.17818,3.15568,0.0292,0.08038,6808.0,5.627
98,6.5333,Midnight 00:00,real-world,0.1,1,-0.66009,-0.21403,2.24882,0.24882,-0.66009,-1.21403,3.03949,0.03634,0.26399,7025.0,5.584
99,6.6,Midnight 00:00,real-world,0.1,1,-0.66857,-0.2465,2.26235,0.26235,-0.66857,-1.2465,2.97046,-0.02485,0.37683,6884.0,5.616
100,6.6667,Midnight 00:00,real-world,0.1,1,-0.65707,-0.26913,2.22456,0.22456,-0.65707,-1.26913,3.01707,0.00345,0.28298,7140.0,5.617
101,6.7333,Midnight 00:00,real-world,0.1,1,-0.66142,-0.29497,2.23867,0.23867,-0.66142,-1.29497,3.00083,-0.06214,0.22794,6967.0,5.548
102,6.8,Midnight 00:00,real-world,0.1,1,-0.66222,-0.31375,2.25388,0.25388,-0.66222,-1.31375,-2.7261,-0.01313,-0.63554,6928.0,5.574
103,6.8667,Midnight 00:00,real-world,0.1,1,-0.66621,-0.3344,2.2521,0.2521,-0.66621,-1.3344,3.10309,-0.07597,0.16781,6980.0,5.53
104,6.9333,Midnight 00:00,real-world,0.1,1,-0.64475,-0.33599,2.19162,0.19162,-0.64475,-1.33599,-2.63785,-0.00934,-0.73004,7138.0,5.516
105,7.0,Midnight 00:00,real-world,0.1,1,-0.65108,-0.34872,2.19829,0.19829,-0.65108,-1.34872,2.99803,-0.03828,0.08357,7051.0,5.516
106,7.0667,Midnight 00:00,real-world,0.1,1,-0.64488,-0.35163,2.18327,0.18327,-0.64488,-1.35163,2.99495,-0.06549,0.08463,7137.5,5.487
107,7.1333,Midnight 00:00,real-world,0.1,1,-0.64579,-0.35116,2.19117,0.19117,-0.64579,-1.35116,-2.6278,-0.02478,-0.7328,7137.0,5.522
108,7.2,Midnight 00:00,real-world,0.1,1,-0.65101,-0.35657,2.20135,0.20135,-0.65101,-1.35657,-3.2097,0.03263,-0.02582,7097.5,5.513
109,7.2667,Midnight 00:00,real-world,0.1,1,-0.65318,-0.36284,2.22394,0.22394,-0.65318,-1.36284,3.01556,-0.07423,0.13426,6972.0,5.487
110,7.3333,Midnight 00:00,real-world,0.1,1,-0.64248,-0.35952,2.19889,0.19889,-0.64248,-1.35952,3.11566,-0.05715,0.06916,7231.0,5.523
111,7.4,Midnight 00:00,real-world,0.1,1,-0.64202,-0.36127,2.19811,0.19811,-0.64202,-1.36127,3.08865,-0.08185,0.14447,7276.5,5.55
112,7.4667,Midnight 00:00,real-world,0.1,1,-0.64679,-0.36295,2.21384,0.21384,-0.64679,-1.36295,3.14552,-0.07044,0.29028,7357.5,5.52
113,7.5333,Midnight 00:00,real-world,0.1,1,-0.64541,-0.36213,2.21156,0.21156,-0.64541,-1.36213,3.12595,-0.04115,0.12933,7226.0,5.532
114,7.6,Midnight 00:00,real-world,0.1,1,-0.64631,-0.36659,2.22781,0.22781,-0.64631,-1.36659,3.1189,-0.0627,0.21665,7185.5,5.488
115,7.6667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.545
116,7.7333,Midnight 00:00,real-world,0.1,1,-0.62688,-0.36139,2.20897,0.20897,-0.62688,-1.36139,-2.71297,0.02582,-0.68743,7187.0,5.518
117,7.8,Midnight 00:00,real-world,0.1,1,-0.61273,-0.35882,2.19792,0.19792,-0.61273,-1.35882,-2.69661,-0.02748,-0.60962,7264.5,5.52
118,7.8667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.527
119,7.9333,Midnight 00:00,real-world,0.1,1,-0.5842,-0.35777,2.21296,0.21296,-0.5842,-1.35777,-2.74835,-0.00259,-0.422,7266.0,5.51
120,8.0,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.522
121,8.0667,Midnight 00:00,real-world,0.1,1,-0.54488,-0.36174,2.23084,0.23084,-0.54488,-1.36174,-3.15905,0.05345,-0.19599,7099.0,5.524
122,8.1333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.473
123,8.2,Midnight 00:00,real-world,0.1,1,-0.48707,-0.36304,2.26138,0.26138,-0.48707,-1.36304,-2.84002,0.04706,-0.49031,6937.5,5.486
124,8.2667,Midnight 00:00,real-world,0.1,1,-0.45198,-0.36273,2.26275,0.26275,-0.45198,-1.36273,-3.17376,0.11589,-0.16656,6830.0,5.413
125,8.3333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.395
126,8.4,Midnight 00:00,real-world,0.1,1,-0.38565,-0.36764,2.26384,0.26384,-0.38565,-1.36764,-2.97254,0.11713,-0.47286,6873.5,5.353
127,8.4667,Midnight 00:00,real-world,0.1,1,-0.36248,-0.37199,2.27538,0.27538,-0.36248,-1.37199,3.106,-0.13199,0.3101,6753.0,5.323
128,8.5333,Midnight 00:00,real-world,0.1,1,-0.3414,-0.37589,2.29097,0.29097,-0.3414,-1.37589,-3.01754,0.13597,-0.37384,6720.5,5.307
129,8.6,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32
130,8.6667,Midnight 00:00,real-world,0.1,1,-0.30572,-0.37041,2.27638,0.27638,-0.30572,-1.37041,3.08035,-0.1368,0.35136,6670.0,5.314
131,8.7333,Midnight 00:00,real-world,0.1,1,-0.28684,-0.36393,2.21487,0.21487,-0.28684,-1.36393,2.97234,-0.10457,0.09485,6822.5,5.296
132,8.8,Midnight 00:00,real-world,0.1,1,-0.28325,-0.36779,2.26582,0.26582,-0.28325,-1.36779,3.0144,-0.1295,0.26395,6626.0,5.302
133,8.8667,Midnight 00:00,real-world,0.1,1,-0.27985,-0.37105,2.28828,0.28828,-0.27985,-1.37105,3.10156,-0.12642,0.29305,6627.5,5.319
134,8.9333,Midnight 00:00,real-world,0.1,1,-0.27337,-0.37329,2.29159,0.29159,-0.27337,-1.37329,3.14873,-0.08578,0.11512,6658.0,5.297
135,9.0,Midnight 00:00,real-world,0.1,1,-0.26183,-0.37333,2.27623,0.27623,-0.26183,-1.37333,3.11002,-0.09825,0.31029,6695.5,5.316
136,9.0667,Midnight 00:00,real-world,0.1,1,-0.25252,-0.37692,2.29425,0.29425,-0.25252,-1.37692,3.11612,-0.07078,0.20002,6608.5,5.3
137,9.1333,Midnight 00:00,real-world,0.1,1,-0.24145,-0.37917,2.30915,0.30915,-0.24145,-1.37917,3.16674,-0.03468,0.09138,6563.0,5.308
138,9.2,Midnight 00:00,real-world,0.1,1,-0.22133,-0.37874,2.30446,0.30446,-0.22133,-1.37874,3.09046,-0.04485,0.03348,6484.0,5.285
139,9.2667,Midnight 00:00,real-world,0.1,1,-0.19846,-0.38064,2.32928,0.32928,-0.19846,-1.38064,3.28121,-0.04462,0.37376,6441.0,5.284
140,9.3333,Midnight 00:00,real-world,0.1,1,-0.17045,-0.37743,2.31364,0.31364,-0.17045,-1.37743,3.16494,-0.05198,0.11455,6525.5,5.316
141,9.4,Midnight 00:00,real-world,0.1,1,-0.14267,-0.38099,2.33416,0.33416,-0.14267,-1.38099,-3.00477,0.07374,-0.28058,6408.5,5.318
142,9.4667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.319
143,9.5333,Midnight 00:00,real-world,0.1,1,-0.08107,-0.37658,2.30973,0.30973,-0.08107,-1.37658,3.07113,-0.09238,0.0538,6420.0,5.312
144,9.6,Midnight 00:00,real-world,0.1,1,-0.05521,-0.37749,2.31775,0.31775,-0.05521,-1.37749,3.15054,-0.14639,0.28904,6398.0,5.348
145,9.6667,Midnight 00:00,real-world,0.1,1,-0.03132,-0.37977,2.3251,0.3251,-0.03132,-1.37977,-3.07007,0.12923,-0.17892,6435.5,5.381
146,9.7333,Midnight 00:00,real-world,0.1,1,-0.01008,-0.37286,2.28737,0.28737,-0.01008,-1.37286,3.21224,-0.17903,0.3634,6534.0,5.319
147,9.8,Midnight 00:00,real-world,0.1,1,0.00607,-0.37365,2.28488,0.28488,0.00607,-1.37365,3.20771,-0.18702,0.44614,6452.0,5.367
148,9.8667,Midnight 00:00,real-world,0.1,1,0.01659,-0.37599,2.29957,0.29957,0.01659,-1.37599,3.10542,-0.11735,0.19834,6467.0,5.379
149,9.9333,Midnight 00:00,real-world,0.1,1,0.02228,-0.37,2.29136,0.29136,0.02228,-1.37,-2.79805,0.08876,0.17883,6553.0,5.375
150,10.0,Midnight 00:00,real-world,0.1,1,0.02783,-0.36821,2.2508,0.2508,0.02783,-1.36821,3.05752,-0.09282,0.2294,6656.0,5.364
151,10.0667,Midnight 00:00,real-world,0.1,1,0.02965,-0.37125,2.27573,0.27573,0.02965,-1.37125,-3.09695,0.10979,-0.34393,6535.5,5.359
152,10.1333,Midnight 00:00,real-world,0.1,1,0.03103,-0.37513,2.30748,0.30748,0.03103,-1.37513,-3.09054,0.09281,-0.2481,6453.0,5.356
153,10.2,Midnight 00:00,real-world,0.1,1,0.03191,-0.36554,2.25085,0.25085,0.03191,-1.36554,-3.13007,0.10077,-0.41053,6567.0,5.391
154,10.2667,Midnight 00:00,real-world,0.1,1,0.03181,-0.36817,2.27413,0.27413,0.03181,-1.36817,3.10017,-0.08631,0.24588,6572.0,5.397
155,10.3333,Midnight 00:00,real-world,0.1,1,0.03301,-0.3672,2.26774,0.26774,0.03301,-1.3672,3.08394,-0.07858,0.2732,6567.5,5.372
156,10.4,Midnight 00:00,real-world,0.1,1,0.03354,-0.36873,2.27018,0.27018,0.03354,-1.36873,-3.15578,0.09146,-0.23334,6614.0,5.399
157,10.4667,Midnight 00:00,real-world,0.1,1,0.03184,-0.36882,2.26767,0.26767,0.03184,-1.36882,-3.1274,0.08623,-0.29142,6610.0,5.377
158,10.5333,Midnight 00:00,real-world,0.1,1,0.03177,-0.36331,2.26625,0.26625,0.03177,-1.36331,3.0823,-0.0973,0.27333,6574.5,5.388
159,10.6,Midnight 00:00,real-world,0.1,1,0.03001,-0.35409,2.2645,0.2645,0.03001,-1.35409,3.03664,-0.09788,0.30455,6492.0,5.36
160,10.6667,Midnight 00:00,real-world,0.1,1,0.03264,-0.33509,2.27912,0.27912,0.03264,-1.33509,-3.24368,0.07849,-0.3256,6362.5,5.405
161,10.7333,Midnight 00:00,real-world,0.1,1,0.03429,-0.30572,2.30829,0.30829,0.03429,-1.30572,-3.19826,0.04602,-0.32495,6279.0,5.435
162,10.8,Midnight 00:00,real-world,0.1,1,0.03439,-0.26783,2.28967,0.28967,0.03439,-1.26783,-3.25474,0.03234,-0.22978,6398.5,5.45
163,10.8667,Midnight 00:00,real-world,0.1,1,0.03561,-0.22571,2.28576,0.28576,0.03561,-1.22571,-3.26432,0.05166,-0.25361,6401.5,5.452
164,10.9333,Midnight 00:00,real-world,0.1,1,0.03427,-0.19063,2.27782,0.27782,0.03427,-1.19063,3.01165,0.01988,0.22839,6481.5,5.45
165,11.0,Midnight 00:00,real-world,0.1,1,0.03802,-0.15427,2.27984,0.27984,0.03802,-1.15427,2.96531,-0.0251,0.25112,6398.5,5.457
166,11.0667,Midnight 00:00,real-world,0.1,1,0.0404,-0.1226,2.25914,0.25914,0.0404,-1.1226,2.96905,-0.02429,0.13557,6602.0,5.494
167,11.1333,Midnight 00:00,real-world,0.1,1,0.03819,-0.0921,2.29833,0.29833,0.03819,-1.0921,-3.18036,-0.01607,-0.20876,6481.0,5.466
168,11.2,Midnight 00:00,real-world,0.1,1,0.03426,-0.06387,2.24036,0.24036,0.03426,-1.06387,3.07272,0.03677,0.43582,6603.0,5.51
169,11.2667,Midnight 00:00,real-world,0.1,1,0.03578,-0.03951,2.23931,0.23931,0.03578,-1.03951,-3.23097,-0.06244,-0.34432,6691.5,5.514
