frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
107,3.5866,Twilight 19:00,3.0,1,-0.4577,0.016,2.6593,0.6593,-0.4577,-0.984,3.14233,0.00024,0.03626,625.0,47.499
108,3.6201,Twilight 19:00,3.0,1,-0.47378,0.016,2.65935,0.65935,-0.47378,-0.984,3.14227,0.00023,0.03517,625.0,47.451
109,3.6536,Twilight 19:00,3.0,1,-0.48684,0.016,2.6617,0.6617,-0.48684,-0.984,3.13154,-0.00102,-0.21698,600.0,47.509
110,3.6872,Twilight 19:00,3.0,1,-0.49789,0.016,2.6594,0.6594,-0.49789,-0.984,3.1422,0.00022,0.03364,625.0,47.456
111,3.7207,Twilight 19:00,3.0,1,-0.51093,0.016,2.66162,0.66162,-0.51093,-0.984,3.13204,-0.00101,-0.21124,600.0,47.475
112,3.7542,Twilight 19:00,3.0,1,-0.52698,0.016,2.66157,0.66157,-0.52698,-0.984,3.13236,-0.001,-0.20755,600.0,47.498
113,3.7877,Twilight 19:00,3.0,1,-0.53806,0.016,2.65948,0.65948,-0.53806,-0.984,3.1421,0.0002,0.03134,625.0,47.43
114,3.8212,Twilight 19:00,3.0,1,-0.55107,0.016,2.6615,0.6615,-0.55107,-0.984,3.1328,-0.00098,-0.2022,600.0,47.485
115,3.8547,Twilight 19:00,3.0,1,-0.56217,0.016,2.65952,0.65952,-0.56217,-0.984,3.14205,0.00019,0.03009,625.0,47.462
116,3.8883,Twilight 19:00,3.0,1,-0.57824,0.016,2.65954,0.65954,-0.57824,-0.984,3.14202,0.00019,0.0293,625.0,47.433
117,3.9218,Twilight 19:00,3.0,1,-0.59122,0.016,2.66139,0.66139,-0.59122,-0.984,3.13349,-0.00096,-0.19378,600.0,47.48
118,3.9553,Twilight 19:00,3.0,1,-0.60235,0.016,2.65957,0.65957,-0.60235,-0.984,3.14199,0.00018,0.0282,625.0,47.421
119,3.9888,Twilight 19:00,3.0,1,-0.61531,0.016,2.66133,0.66133,-0.61531,-0.984,3.13387,-0.00094,-0.18899,600.0,47.459
120,4.0223,Twilight 19:00,3.0,1,-0.63136,0.016,2.66129,0.66129,-0.63136,-0.984,3.13411,-0.00093,-0.18591,600.0,47.465
121,4.0559,Twilight 19:00,3.0,1,-0.64252,0.016,2.65961,0.65961,-0.64252,-0.984,3.14194,0.00017,0.02652,625.0,47.416
122,4.0894,Twilight 19:00,3.0,1,-0.65545,0.016,2.66123,0.66123,-0.65545,-0.984,3.13445,-0.00092,-0.18144,600.0,47.463
123,4.1229,Twilight 19:00,3.0,1,-0.66663,0.016,2.65963,0.65963,-0.66663,-0.984,3.14191,0.00016,0.0256,625.0,47.426
124,4.1564,Twilight 19:00,3.0,1,-0.6827,0.016,2.65965,0.65965,-0.6827,-0.984,3.14189,0.00016,0.02502,625.0,47.428
125,4.1899,Twilight 19:00,3.0,1,-0.6956,0.016,2.66114,0.66114,-0.6956,-0.984,3.13498,-0.00089,-0.17438,600.0,47.452
126,4.2235,Twilight 19:00,3.0,1,-0.7068,0.016,2.65966,0.65966,-0.7068,-0.984,3.14187,0.00015,0.0242,625.0,47.387
127,4.257,Twilight 19:00,3.0,1,-0.71969,0.016,2.66109,0.66109,-0.71969,-0.984,3.13527,-0.00088,-0.17037,600.0,47.43
128,4.2905,Twilight 19:00,3.0,1,-0.73091,0.016,2.65968,0.65968,-0.73091,-0.984,3.14185,0.00015,0.02342,625.0,47.418
129,4.324,Twilight 19:00,3.0,1,-0.74697,0.016,2.65969,0.65969,-0.74697,-0.984,3.14184,0.00014,0.02294,625.0,47.384
130,4.3575,Twilight 19:00,3.0,1,-0.75983,0.016,2.66101,0.66101,-0.75983,-0.984,3.13572,-0.00086,-0.16401,600.0,47.426
131,4.3911,Twilight 19:00,3.0,1,-0.77108,0.016,2.6597,0.6597,-0.77108,-0.984,3.14182,0.00014,0.02224,625.0,47.38
132,4.4246,Twilight 19:00,3.0,1,-0.78715,0.016,2.65971,0.65971,-0.78715,-0.984,3.14181,0.00013,0.0218,625.0,47.394
133,4.4581,Twilight 19:00,3.0,1,-0.79998,0.016,2.66094,0.66094,-0.79998,-0.984,3.13613,-0.00083,-0.15806,600.0,47.412
134,4.4916,Twilight 19:00,3.0,1,-0.81125,0.016,2.65972,0.65972,-0.81125,-0.984,3.1418,0.00013,0.02116,625.0,47.355
135,4.5251,Twilight 19:00,3.0,1,-0.82407,0.016,2.6609,0.6609,-0.82407,-0.984,3.13635,-0.00082,-0.15466,600.0,47.399
136,4.5587,Twilight 19:00,3.0,1,-0.83535,0.016,2.65973,0.65973,-0.83535,-0.984,3.14179,0.00013,0.02057,625.0,47.38
137,4.5922,Twilight 19:00,3.0,1,-0.84816,0.016,2.66086,0.66086,-0.84816,-0.984,3.13656,-0.00081,-0.15139,600.0,47.397
138,4.6257,Twilight 19:00,3.0,1,-0.84815,0.0,2.66084,0.66084,-0.84815,-1.0,3.13794,0.0,-0.15149,600.0,47.433
139,4.6592,Twilight 19:00,3.0,1,-0.88272,-0.0125,2.77057,0.77057,-0.88272,-1.0125,3.14134,-9e-05,0.02033,576.0,47.429
140,4.6927,Twilight 19:00,3.0,1,-0.84817,-0.024,2.66089,0.66089,-0.84817,-1.024,3.14,0.00121,-0.15153,600.0,47.37
141,4.7263,Twilight 19:00,3.0,1,-0.88271,-0.0375,2.77056,0.77056,-0.88271,-1.0375,3.14095,-0.00028,0.02029,576.0,47.428
